Office for Lease - 9/16/2016,1,1,7677 W. Emerald St.,7677 W Emerald St,7677,Boise,Idaho,83704     ,3000 SF,1500 SF,Office for Lease - 9/16/2016,Medical Office,$1.04 /SF/Mo,$12.50 /SF/Yr,,Modified Gross,20333894,Steve Cannariato,FIELD UNAVAILABLE,stevec@hcollc.com,(208) 376-6800,Dental office with space #7677 available. Nice Floorplan  Lockbox on exterior doors. Please call listing agent for code.,http://www.loopnet.com/lid/20333894,
Office for Lease - 9/16/2016,5,3,8th & Fulton,848 Fulton Street,521 8th | Suite 4,Boise,Idaho,83702     ,19632 SF,800 SF,Office for Lease - 9/16/2016,Office Building,$0.50 /SF/Mo,$6 /SF/Yr,,NNN,20250297,Scott Feighner,Colliers International,scott.feighner@colliers.com,(208) 493-5107, ,http://www.loopnet.com/lid/20250297,
Office for Lease - 9/16/2016,5,4,8th & Fulton,848 Fulton Street,521 8th | Suite 5,Boise,Idaho,83702     ,19632 SF,800 SF,Office for Lease - 9/16/2016,Office Building,$0.50 /SF/Mo,$6 /SF/Yr,,NNN,20250297,Scott Feighner,Colliers International,scott.feighner@colliers.com,(208) 493-5107, ,http://www.loopnet.com/lid/20250297,
Office for Lease - 9/16/2016,5,5,8th & Fulton,848 Fulton Street,521 8th | Suite 6,Boise,Idaho,83702     ,19632 SF,2500 SF,Office for Lease - 9/16/2016,Office Building,$0.50 /SF/Mo,$6 /SF/Yr,,NNN,20250297,Scott Feighner,Colliers International,scott.feighner@colliers.com,(208) 493-5107, ,http://www.loopnet.com/lid/20250297,
Office for Lease - 9/16/2016,3,1,Broadbent Building,168 N 9th Street,Suite 200,Boise,Idaho,83702     ,15970 SF,1921 SF,Office for Lease - 9/16/2016,Office Building,$1.54 /SF/Mo,$18.50 /SF/Yr,,Full Service,20293497,Scott Feighner,Colliers International,scott.feighner@colliers.com,(208) 493-5107, ,http://www.loopnet.com/lid/20293497,
Office for Lease - 9/16/2016,3,2,Broadbent Building,168 N 9th Street,3A - Basement,Boise,Idaho,83702     ,15970 SF,624 SF,Office for Lease - 9/16/2016,Office Building,$0.80 /SF/Mo,$9.62 /SF/Yr,,Full Service,20293497,Scott Feighner,Colliers International,scott.feighner@colliers.com,(208) 493-5107, ,http://www.loopnet.com/lid/20293497,
Office for Lease - 9/16/2016,3,3,Broadbent Building,168 N 9th Street,3C - Basement,Boise,Idaho,83702     ,15970 SF,286 SF,Office for Lease - 9/16/2016,Office Building,$1.22 /SF/Mo,$14.69 /SF/Yr,,Full Service,20293497,Scott Feighner,Colliers International,scott.feighner@colliers.com,(208) 493-5107, ,http://www.loopnet.com/lid/20293497,
Office for Lease - 9/16/2016,6,1,Lakeharbor Retail,3100 Lakeharbor Lane,114,Boise,Idaho,83703     ,,1444 SF,Office for Lease - 9/16/2016,Strip Center,$1.46 /SF/Mo,$17.50 /SF/Yr,,Full Service,20285630,Brianna Miller,Thornton Oliver Keller,brianna@tokcommercial.com,(208) 947-5519,First floor retail space facing State Street.,http://www.loopnet.com/lid/20285630,
Office for Lease - 9/16/2016,6,2,Lakeharbor Retail,3100 Lakeharbor Lane,118,Boise,Idaho,83703     ,,902 SF,Office for Lease - 9/16/2016,Strip Center,$1.46 /SF/Mo,$17.50 /SF/Yr,,Full Service,20285630,Brianna Miller,Thornton Oliver Keller,brianna@tokcommercial.com,(208) 947-5519,First floor retail space facing State Street. Former salon with 4 stations and 2 sinks.,http://www.loopnet.com/lid/20285630,
Office for Lease - 9/16/2016,6,3,Lakeharbor Retail,3100 Lakeharbor Lane,150,Boise,Idaho,83703     ,,3284 SF,Office for Lease - 9/16/2016,Strip Center,$1.46 /SF/Mo,$17.50 /SF/Yr,,Full Service,20285630,Brianna Miller,Thornton Oliver Keller,brianna@tokcommercial.com,(208) 947-5519,First floor retail space facing Silver Lake. Former yoga studio,http://www.loopnet.com/lid/20285630,
Office for Lease - 9/16/2016,6,4,Lakeharbor Retail,3100 Lakeharbor Lane,160,Boise,Idaho,83703     ,,3376 SF,Office for Lease - 9/16/2016,Strip Center,$1 /SF/Mo,$11.95 /SF/Yr,,NNN,20285630,Brianna Miller,Thornton Oliver Keller,brianna@tokcommercial.com,(208) 947-5519,First floor retail space facing Silver Lake. Café space with outdoor patio.,http://www.loopnet.com/lid/20285630,
Office for Lease - 9/16/2016,6,5,Lakeharbor Retail,3100 Lakeharbor Lane,5921 Silverlake Lane,Boise,Idaho,83703     ,,4614 SF,Office for Lease - 9/16/2016,Strip Center,$1.25 /SF/Mo,$14.95 /SF/Yr,,NNN,20285630,Brianna Miller,Thornton Oliver Keller,brianna@tokcommercial.com,(208) 947-5519,Stand alone restaurant space next to the Lakeharbor Building. Commercial kitchen with hood. Great views of Silver Lake.,http://www.loopnet.com/lid/20285630,
Office for Lease - 9/16/2016,6,6,Lakeharbor Retail,3100 Lakeharbor Lane,5033 W State St,Boise,Idaho,83703     ,,1.27 AC,Office for Lease - 9/16/2016,Strip Center,Negotiable,Negotiable,, ,20285630,Brianna Miller,Thornton Oliver Keller,brianna@tokcommercial.com,(208) 947-5519,New retail pad opportunity with prime State Street frontage on the commuting into Downtown Boise south side of the street. Drive thru possible.,http://www.loopnet.com/lid/20285630,
Office for Lease - 9/16/2016,26,1,Lakeharbor Office,3050 Lakeharbor Lane,120,Boise,Idaho,83703     ,77868 SF,2177 SF,Office for Lease - 9/16/2016,Office Building,$1.38 /SF/Mo,$16.50 /SF/Yr,,Full Service,20285513,Al Marino,Thornton Oliver Keller,al@tokcommercial.com,(208) 947-0811, ,http://www.loopnet.com/lid/20285513,
Office for Lease - 9/16/2016,26,2,Lakeharbor Office,3050 Lakeharbor Lane,124,Boise,Idaho,83703     ,77868 SF,1442 SF,Office for Lease - 9/16/2016,Office Building,$1.38 /SF/Mo,$16.50 /SF/Yr,,Full Service,20285513,Al Marino,Thornton Oliver Keller,al@tokcommercial.com,(208) 947-0811, ,http://www.loopnet.com/lid/20285513,
Office for Lease - 9/16/2016,26,3,Lakeharbor Office,3050 Lakeharbor Lane,138,Boise,Idaho,83703     ,77868 SF,2699 SF,Office for Lease - 9/16/2016,Office Building,$1.38 /SF/Mo,$16.50 /SF/Yr,,Full Service,20285513,Al Marino,Thornton Oliver Keller,al@tokcommercial.com,(208) 947-0811, ,http://www.loopnet.com/lid/20285513,
Office for Lease - 9/16/2016,26,4,Lakeharbor Office,3050 Lakeharbor Lane,146,Boise,Idaho,83703     ,77868 SF,1133 SF,Office for Lease - 9/16/2016,Office Building,$1.38 /SF/Mo,$16.50 /SF/Yr,,Full Service,20285513,Al Marino,Thornton Oliver Keller,al@tokcommercial.com,(208) 947-0811, ,http://www.loopnet.com/lid/20285513,
Office for Lease - 9/16/2016,26,5,Lakeharbor Office,3050 Lakeharbor Lane,130,Boise,Idaho,83703     ,77868 SF,6262 SF,Office for Lease - 9/16/2016,Office Building,$1.38 /SF/Mo,$16.50 /SF/Yr,,Full Service,20285513,Al Marino,Thornton Oliver Keller,al@tokcommercial.com,(208) 947-0811, ,http://www.loopnet.com/lid/20285513,
Office for Lease - 9/16/2016,26,6,Lakeharbor Office,3050 Lakeharbor Lane,152,Boise,Idaho,83703     ,77868 SF,129 SF,Office for Lease - 9/16/2016,Office Building,$1.16 /SF/Mo,$13.95 /SF/Yr,,Full Service,20285513,Al Marino,Thornton Oliver Keller,al@tokcommercial.com,(208) 947-0811, ,http://www.loopnet.com/lid/20285513,
Office for Lease - 9/16/2016,26,7,Lakeharbor Office,3050 Lakeharbor Lane,161,Boise,Idaho,83703     ,77868 SF,2220 SF,Office for Lease - 9/16/2016,Office Building,$1.38 /SF/Mo,$16.50 /SF/Yr,,Full Service,20285513,Al Marino,Thornton Oliver Keller,al@tokcommercial.com,(208) 947-0811, ,http://www.loopnet.com/lid/20285513,
Office for Lease - 9/16/2016,26,8,Lakeharbor Office,3050 Lakeharbor Lane,163a,Boise,Idaho,83703     ,77868 SF,286 SF,Office for Lease - 9/16/2016,Office Building,$1.57 /SF/Mo,$18.88 /SF/Yr,,Full Service,20285513,Al Marino,Thornton Oliver Keller,al@tokcommercial.com,(208) 947-0811, ,http://www.loopnet.com/lid/20285513,
Office for Lease - 9/16/2016,26,9,Lakeharbor Office,3050 Lakeharbor Lane,163b,Boise,Idaho,83703     ,77868 SF,190 SF,Office for Lease - 9/16/2016,Office Building,$1.58 /SF/Mo,$18.95 /SF/Yr,,Full Service,20285513,Al Marino,Thornton Oliver Keller,al@tokcommercial.com,(208) 947-0811, ,http://www.loopnet.com/lid/20285513,
Office for Lease - 9/16/2016,26,10,Lakeharbor Office,3050 Lakeharbor Lane,163c,Boise,Idaho,83703     ,77868 SF,156 SF,Office for Lease - 9/16/2016,Office Building,$1.60 /SF/Mo,$19.23 /SF/Yr,,Full Service,20285513,Al Marino,Thornton Oliver Keller,al@tokcommercial.com,(208) 947-0811, ,http://www.loopnet.com/lid/20285513,
Office for Lease - 9/16/2016,26,11,Lakeharbor Office,3050 Lakeharbor Lane,164,Boise,Idaho,83703     ,77868 SF,454 SF,Office for Lease - 9/16/2016,Office Building,$0.99 /SF/Mo,$11.89 /SF/Yr,,Full Service,20285513,Al Marino,Thornton Oliver Keller,al@tokcommercial.com,(208) 947-0811, ,http://www.loopnet.com/lid/20285513,
Office for Lease - 9/16/2016,26,12,Lakeharbor Office,3050 Lakeharbor Lane,165,Boise,Idaho,83703     ,77868 SF,1206 SF,Office for Lease - 9/16/2016,Office Building,$1 /SF/Mo,$11.94 /SF/Yr,,Full Service,20285513,Al Marino,Thornton Oliver Keller,al@tokcommercial.com,(208) 947-0811, ,http://www.loopnet.com/lid/20285513,
Office for Lease - 9/16/2016,26,13,Lakeharbor Office,3050 Lakeharbor Lane,170,Boise,Idaho,83703     ,77868 SF,233 SF,Office for Lease - 9/16/2016,Office Building,$1.57 /SF/Mo,$18.80 /SF/Yr,,Full Service,20285513,Al Marino,Thornton Oliver Keller,al@tokcommercial.com,(208) 947-0811, ,http://www.loopnet.com/lid/20285513,
Office for Lease - 9/16/2016,26,14,Lakeharbor Office,3050 Lakeharbor Lane,172,Boise,Idaho,83703     ,77868 SF,450 SF,Office for Lease - 9/16/2016,Office Building,$1.56 /SF/Mo,$18.67 /SF/Yr,,Full Service,20285513,Al Marino,Thornton Oliver Keller,al@tokcommercial.com,(208) 947-0811, ,http://www.loopnet.com/lid/20285513,
Office for Lease - 9/16/2016,26,15,Lakeharbor Office,3050 Lakeharbor Lane,173,Boise,Idaho,83703     ,77868 SF,579 SF,Office for Lease - 9/16/2016,Office Building,$1.55 /SF/Mo,$18.65 /SF/Yr,,Full Service,20285513,Al Marino,Thornton Oliver Keller,al@tokcommercial.com,(208) 947-0811, ,http://www.loopnet.com/lid/20285513,
Office for Lease - 9/16/2016,26,16,Lakeharbor Office,3050 Lakeharbor Lane,174,Boise,Idaho,83703     ,77868 SF,305 SF,Office for Lease - 9/16/2016,Office Building,$1.59 /SF/Mo,$19.08 /SF/Yr,,Full Service,20285513,Al Marino,Thornton Oliver Keller,al@tokcommercial.com,(208) 947-0811, ,http://www.loopnet.com/lid/20285513,
Office for Lease - 9/16/2016,26,17,Lakeharbor Office,3050 Lakeharbor Lane,176b,Boise,Idaho,83703     ,77868 SF,608 SF,Office for Lease - 9/16/2016,Office Building,$1.58 /SF/Mo,$18.95 /SF/Yr,, ,20285513,Al Marino,Thornton Oliver Keller,al@tokcommercial.com,(208) 947-0811, ,http://www.loopnet.com/lid/20285513,
Office for Lease - 9/16/2016,26,18,Lakeharbor Office,3050 Lakeharbor Lane,209,Boise,Idaho,83703     ,77868 SF,893 SF,Office for Lease - 9/16/2016,Office Building,$1.38 /SF/Mo,$16.50 /SF/Yr,,Full Service,20285513,Al Marino,Thornton Oliver Keller,al@tokcommercial.com,(208) 947-0811, ,http://www.loopnet.com/lid/20285513,
Office for Lease - 9/16/2016,26,19,Lakeharbor Office,3050 Lakeharbor Lane,217,Boise,Idaho,83703     ,77868 SF,459 SF,Office for Lease - 9/16/2016,Office Building,$1.38 /SF/Mo,$16.50 /SF/Yr,,Full Service,20285513,Al Marino,Thornton Oliver Keller,al@tokcommercial.com,(208) 947-0811, ,http://www.loopnet.com/lid/20285513,
Office for Lease - 9/16/2016,26,20,Lakeharbor Office,3050 Lakeharbor Lane,218,Boise,Idaho,83703     ,77868 SF,2125 SF,Office for Lease - 9/16/2016,Office Building,$1.38 /SF/Mo,$16.50 /SF/Yr,,Full Service,20285513,Al Marino,Thornton Oliver Keller,al@tokcommercial.com,(208) 947-0811, ,http://www.loopnet.com/lid/20285513,
Office for Lease - 9/16/2016,26,21,Lakeharbor Office,3050 Lakeharbor Lane,219,Boise,Idaho,83703     ,77868 SF,853 SF,Office for Lease - 9/16/2016,Office Building,$1.38 /SF/Mo,$16.50 /SF/Yr,,Full Service,20285513,Al Marino,Thornton Oliver Keller,al@tokcommercial.com,(208) 947-0811, ,http://www.loopnet.com/lid/20285513,
Office for Lease - 9/16/2016,26,22,Lakeharbor Office,3050 Lakeharbor Lane,220,Boise,Idaho,83703     ,77868 SF,393 SF,Office for Lease - 9/16/2016,Office Building,$1.38 /SF/Mo,$16.50 /SF/Yr,,Full Service,20285513,Al Marino,Thornton Oliver Keller,al@tokcommercial.com,(208) 947-0811, ,http://www.loopnet.com/lid/20285513,
Office for Lease - 9/16/2016,26,23,Lakeharbor Office,3050 Lakeharbor Lane,222,Boise,Idaho,83703     ,77868 SF,452 SF,Office for Lease - 9/16/2016,Office Building,$1.38 /SF/Mo,$16.50 /SF/Yr,,Full Service,20285513,Al Marino,Thornton Oliver Keller,al@tokcommercial.com,(208) 947-0811, ,http://www.loopnet.com/lid/20285513,
Office for Lease - 9/16/2016,26,24,Lakeharbor Office,3050 Lakeharbor Lane,230,Boise,Idaho,83703     ,77868 SF,1032 SF,Office for Lease - 9/16/2016,Office Building,$1.38 /SF/Mo,$16.50 /SF/Yr,,Full Service,20285513,Al Marino,Thornton Oliver Keller,al@tokcommercial.com,(208) 947-0811, ,http://www.loopnet.com/lid/20285513,
Office for Lease - 9/16/2016,26,25,Lakeharbor Office,3050 Lakeharbor Lane,232,Boise,Idaho,83703     ,77868 SF,2662 SF,Office for Lease - 9/16/2016,Office Building,$1.38 /SF/Mo,$16.50 /SF/Yr,,Full Service,20285513,Al Marino,Thornton Oliver Keller,al@tokcommercial.com,(208) 947-0811, ,http://www.loopnet.com/lid/20285513,
Office for Lease - 9/16/2016,26,26,Lakeharbor Office,3050 Lakeharbor Lane,248,Boise,Idaho,83703     ,77868 SF,892 SF,Office for Lease - 9/16/2016,Office Building,$1.38 /SF/Mo,$16.50 /SF/Yr,,Full Service,20285513,Al Marino,Thornton Oliver Keller,al@tokcommercial.com,(208) 947-0811, ,http://www.loopnet.com/lid/20285513,
Office for Lease - 9/16/2016,4,1,Collister Shopping Center,FIELD UNAVAILABLE,4764,Boise,Idaho,83703     ,,1701 SF,Office for Lease - 9/16/2016,Neighborhood Center,Negotiable,Negotiable,,NNN,19828994,Darin Burrell,Intermountain Commercial Real Estate,darin@icrellc.com,(208) 860-0332,Can be combined with 4764 and 4774,http://www.loopnet.com/lid/19828994,
Office for Lease - 9/16/2016,4,2,Collister Shopping Center,FIELD UNAVAILABLE,4774,Boise,Idaho,83703     ,,2938 SF,Office for Lease - 9/16/2016,Neighborhood Center,Negotiable,Negotiable,,NNN,19828994,Darin Burrell,Intermountain Commercial Real Estate,darin@icrellc.com,(208) 860-0332,Can be combined with 4764 and 4774,http://www.loopnet.com/lid/19828994,
Office for Lease - 9/16/2016,4,3,Collister Shopping Center,FIELD UNAVAILABLE,4712,Boise,Idaho,83703     ,,21071 SF,Office for Lease - 9/16/2016,Neighborhood Center,Negotiable,Negotiable,,NNN,19828994,Darin Burrell,Intermountain Commercial Real Estate,darin@icrellc.com,(208) 860-0332, ,http://www.loopnet.com/lid/19828994,
Office for Lease - 9/16/2016,4,4,Collister Shopping Center,FIELD UNAVAILABLE,4610,Boise,Idaho,83703     ,,1693 SF,Office for Lease - 9/16/2016,Neighborhood Center,Negotiable,Negotiable,,NNN,19828994,Darin Burrell,Intermountain Commercial Real Estate,darin@icrellc.com,(208) 860-0332, ,http://www.loopnet.com/lid/19828994,
Office for Lease - 9/16/2016,7,1,The Watercooler,1401 W Idaho St,Unit 1,Boise,Idaho,83702     ,31533 SF,889 SF,Office for Lease - 9/16/2016,Retail (Other),Negotiable,Negotiable,,Other,20266528,Katherine Vila,LocalConstruct,katie@localconstruct.com,(208) 918-1036, ,http://www.loopnet.com/lid/20266528,
Office for Lease - 9/16/2016,7,2,The Watercooler,1401 W Idaho St,Unit 2,Boise,Idaho,83702     ,31533 SF,925 SF,Office for Lease - 9/16/2016,Retail (Other),Negotiable,Negotiable,, ,20266528,Katherine Vila,LocalConstruct,katie@localconstruct.com,(208) 918-1036, ,http://www.loopnet.com/lid/20266528,
